sample_id,q_idx,type,gold,qwen,z3,final,ok,qwen_ok,z3_ok,z3_used,qwen_z3_agree,qwen_conf,z3_conf,z3_grounded,z3_def,z3_source,question
86,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every student qualifies for the degree. B. No student qualifies for the degree. C. Only some students qualifies for the degree. D. The premises do not support any conclusion about qualifiesing."
86,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every student earns course credit."
87,0,mc,NA,B,B,B,,,,True,True,0.8,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one intern joins the team. B. No intern joins the team. C. Every intern receives mentor feedback. D. At least one intern receives mentor feedback."
87,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.4,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every intern writes the internship report."
88,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which conclusion follows? A. At least one developer passes the code review. B. Every developer passes the code review. C. No developer passes the code review. D. At least one developer writes the code, but nothing about passes the code review."
88,1,yes_no,NA,No,Unknown,No,,,,False,False,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every developer deploys to production."
89,0,yes_no,NA,Unknown,Yes,Yes,,,,True,False,1.0,1.0,1.0,1,yn,Do all students course?
89,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all students submits all assignments?
90,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all students problems?
90,1,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.6,1.0,0.8,1,yn,Do all students receives honors?
91,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all students problems?
91,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.6,0.5,0.8,1,yn,Does at least one student exam?
92,0,mc,NA,A,A,A,,,,True,True,0.8,1.0,0.8,1,mc,"Based on the premises, which statement can be inferred? A. Every developer merges the branch. B. No developer merges the branch. C. Only some developers merges the branch. D. The premises do not support any conclusion about mergesing."
92,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every developer passes the code review."
93,0,mc,NA,C,C,C,,,,True,True,1.0,1.0,0.2,1,mc,"Based on the premises, which statement can be inferred? A. Every researcher reads the literature. B. At least one researcher identifies a research gap. C. No researcher reads the literature. D. Some researchers designs a study."
93,1,yes_no,NA,Yes,No,No,,,,True,False,0.6,1.0,1.0,1,yn,"According to the premises, is the following statement true? At least one researcher identifies a research gap."
94,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all trainees submits a portfolio?
94,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,Do all trainees professional body?
95,0,mc,NA,B,B,B,,,,True,True,0.6,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one employee completes the onboarding program. B. No employee completes the onboarding program. C. Every employee receives full benefits. D. At least one employee receives full benefits."
95,1,yes_no,NA,No,Unknown,No,,,,False,False,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every employee is eligible for promotion."
96,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.6,1.0,1.0,1,yn,Do all teachers assignments?
96,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,0.0,0.0,0,yn,Do all teachers academic term?
97,0,mc,NA,B,B,B,,,,True,True,0.8,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one student completes the coursework. B. No student completes the coursework. C. Every student earns course credit. D. At least one student earns course credit."
97,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every student qualifies for the degree."
98,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all students group project?
98,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,0.0,0.0,0,yn,Do all students teamwork requirement?
99,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all participants finishes all modules?
99,1,yes_no,NA,No,No,No,,,,True,True,1.0,1.0,1.0,1,yn,Does at least one participant certification exam?
100,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all analysts builds a model?
100,1,yes_no,NA,No,No,No,,,,True,True,0.8,0.6,1.0,1,yn,Does at least one analyst results?
101,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,1.0,0.6,0,yn,Do all interns team?
101,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all interns receives mentor feedback?
102,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all researchers writes a research proposal?
102,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all researchers conducts experiments?
103,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all volunteers assists with activities?
103,1,yes_no,NA,No,No,No,,,,True,True,0.8,0.8,1.0,1,yn,Does at least one volunteer logs service hours?
104,0,mc,NA,C,Unknown,C,,,,False,False,0.6,0.0,0.0,0,mc,"Based on the premises, which statement can be inferred? A. Every analyst gathers the requirements. B. At least one analyst documents the findings. C. No analyst gathers the requirements. D. Some analysts builds a model."
104,1,yes_no,NA,No,No,No,,,,True,True,0.4,1.0,1.0,1,yn,"According to the premises, is the following statement true? At least one analyst documents the findings."
105,0,mc,NA,B,B,B,,,,True,True,0.6,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one employee attends compliance training. B. No employee attends compliance training. C. Every employee receives security clearance. D. At least one employee receives security clearance."
105,1,yes_no,NA,No,Unknown,No,,,,False,False,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every employee accesses sensitive data."
106,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which conclusion follows? A. At least one student completes the group project. B. Every student completes the group project. C. No student completes the group project. D. At least one student joins the study group, but nothing about completes the group project."
106,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.6,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every student fulfils the teamwork requirement."
107,0,mc,NA,B,Unknown,B,,,,False,False,1.0,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. Every student registers for the exam. B. It cannot be determined whether every student registers for the exam. C. No student registers for the exam. D. Every student who reviews mistakes must registers."
107,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a student reviews mistakes, then the student registers for the exam."
108,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all mentors provides feedback?
108,1,yes_no,NA,No,No,No,,,,True,True,0.8,1.0,1.0,1,yn,Does at least one mentor sets development goals?
109,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every trainee earns a certificate. B. No trainee earns a certificate. C. Only some trainees earns a certificate. D. The premises do not support any conclusion about earnsing."
109,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every trainee submits a portfolio."
110,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every employee is eligible for promotion. B. No employee is eligible for promotion. C. Only some employees is eligible for promotion. D. The premises do not support any conclusion about ising."
110,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every employee receives full benefits."
111,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every analyst validates the results. B. No analyst validates the results. C. Only some analysts validates the results. D. The premises do not support any conclusion about validatesing."
111,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every analyst builds a model."
112,0,mc,NA,D,Unknown,D,,,,False,False,1.0,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No teacher delivers the lectures. B. Every teacher delivers the lectures. C. At least one teacher delivers the lectures. D. It cannot be determined whether any teacher delivers the lectures."
112,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,1.0,0.6,0,yn,"According to the premises, is the following statement true? No teacher delivers the lectures."
113,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all students group project?
113,1,yes_no,NA,No,No,No,,,,True,True,0.8,0.8,1.0,1,yn,Does at least one student group grade?
114,0,yes_no,NA,Yes,Unknown,Yes,,,,False,False,1.0,1.0,0.2,0,yn,Do all trainees seminar?
114,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,Do all trainees submits a portfolio?
115,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all researchers designs a study?
115,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.8,1.0,0,yn,Do all researchers publishes a paper?
116,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all employees receives full benefits?
116,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all employees leads a project?
117,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all volunteers assists with activities?
117,1,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one volunteer logs service hours?
118,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every mentor sets development goals. B. No mentor sets development goals. C. Only some mentors sets development goals. D. The premises do not support any conclusion about setsing."
118,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every mentor provides feedback."
119,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every employee attends compliance training. B. It cannot be determined whether every employee attends compliance training. C. No employee attends compliance training. D. Every employee who receives security clearance must attends."
119,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? If an employee receives security clearance, then the employee attends compliance training."
120,0,yes_no,NA,Yes,No,No,,,,True,False,0.6,1.0,1.0,1,yn,Does at least one candidate application?
120,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.6,1.0,1.0,1,yn,Do all candidates position?
121,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every librarian processes reservations. B. No librarian processes reservations. C. Only some librarians processes reservations. D. The premises do not support any conclusion about processesing."
121,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every librarian notifies patrons."
122,0,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one analyst requirements?
122,1,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.4,1.0,1.0,1,yn,Do all analysts report?
123,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all volunteers event?
123,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all volunteers assists with activities?
124,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all developers code review?
124,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all developers deploys to production?
125,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all participants finishes all modules?
125,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,1.0,1.0,0,yn,Do all participants obtains a professional license?
126,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all employees attends compliance training?
126,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all employees receives security clearance?
127,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all employees receives full benefits?
127,1,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one employee is eligible for promotion?
128,0,mc,NA,B,Unknown,B,,,,False,False,0.8,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every mentor schedules a session. B. It cannot be determined whether every mentor schedules a session. C. No mentor schedules a session. D. Every mentor who provides feedback must schedules."
128,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a mentor provides feedback, then the mentor schedules a session."
129,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all participants finishes all modules?
129,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,1.0,1.0,0,yn,Do all participants obtains a professional license?
130,0,mc,NA,B,B,B,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one student completes the lab work. B. No student completes the lab work. C. Every student passes the lab component. D. At least one student passes the lab component."
130,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every student meets the graduation requirement."
131,0,mc,NA,B,B,B,,,,True,True,0.6,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one researcher reads the literature. B. No researcher reads the literature. C. Every researcher designs a study. D. At least one researcher designs a study."
131,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every researcher collects data."
132,0,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one employee onboarding program?
132,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all employees leads a project?
133,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every student achieves a high GPA. B. No student achieves a high GPA. C. Only some students achieves a high GPA. D. The premises do not support any conclusion about achievesing."
133,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every student submits all assignments."
134,0,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all researchers literature?
134,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,Do all researchers designs a study?
135,0,mc,NA,C,C,C,,,,True,True,0.8,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every student completes the lab work. B. At least one student submits the lab report. C. No student completes the lab work. D. Some students passes the lab component."
135,1,yes_no,NA,Yes,No,No,,,,True,False,0.6,1.0,1.0,1,yn,"According to the premises, is the following statement true? At least one student submits the lab report."
136,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all volunteers assists with activities?
136,1,yes_no,NA,Unknown,No,No,,,,True,False,0.6,1.0,1.0,1,yn,Does at least one volunteer logs service hours?
137,0,mc,NA,C,Unknown,C,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement can be inferred? A. Every volunteer signs up for the event. B. At least one volunteer attends the training session. C. No volunteer signs up for the event. D. Some volunteers assists with activities."
137,1,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,"According to the premises, is the following statement true? At least one volunteer attends the training session."
138,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all candidates interview?
138,1,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one candidate receives an offer?
139,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all students problems?
139,1,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.8,0.8,1.0,1,yn,Do all students receives honors?
140,0,mc,NA,A,Unknown,A,,,,False,False,0.4,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No student submits the lab report. B. Every student submits the lab report. C. At least one student submits the lab report. D. It cannot be determined whether any student submits the lab report."
140,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,0.6,1.0,1,yn,"According to the premises, is the following statement true? No student submits the lab report."
141,0,mc,NA,B,B,B,,,,True,True,0.8,1.0,0.8,1,mc,"Based on the premises, which statement can be inferred? A. At least one librarian catalogs new books. B. No librarian catalogs new books. C. Every librarian notifies patrons. D. At least one librarian notifies patrons."
141,1,yes_no,NA,No,Unknown,No,,,,False,False,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every librarian processes reservations."
142,0,mc,NA,B,C,C,,,,True,False,0.6,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every student enrolls in the course. B. At least one student attends all lectures. C. No student enrolls in the course. D. Some students submits all assignments."
142,1,yes_no,NA,Yes,No,No,,,,True,False,0.6,1.0,1.0,1,yn,"According to the premises, is the following statement true? At least one student attends all lectures."
143,0,yes_no,NA,Yes,No,No,,,,True,False,0.4,1.0,1.0,1,yn,Does at least one student coursework?
143,1,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.6,1.0,1.0,1,yn,Do all students university?
144,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all employees receives full benefits?
144,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,Do all employees leads a project?
145,0,mc,NA,B,Unknown,B,,,,False,False,0.6,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No student attends all lectures. B. Every student attends all lectures. C. At least one student attends all lectures. D. It cannot be determined whether any student attends all lectures."
145,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,1.0,1.0,1.0,0,yn,"According to the premises, is the following statement true? No student attends all lectures."
146,0,mc,NA,B,B,B,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one trainee attends the seminar. B. No trainee attends the seminar. C. Every trainee submits a portfolio. D. At least one trainee submits a portfolio."
146,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.8,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every trainee earns a certificate."
147,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every teacher submits the grade report. B. No teacher submits the grade report. C. Only some teachers submits the grade report. D. The premises do not support any conclusion about submitsing."
147,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every teacher grades the assignments."
148,0,mc,NA,B,B,B,,,,True,True,0.6,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one analyst gathers the requirements. B. No analyst gathers the requirements. C. Every analyst builds a model. D. At least one analyst builds a model."
148,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every analyst validates the results."
149,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all employees receives security clearance?
149,1,yes_no,NA,No,No,No,,,,True,True,1.0,1.0,1.0,1,yn,Does at least one employee accesses sensitive data?
150,0,mc,NA,B,B,B,,,,True,True,0.8,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. At least one researcher writes a research proposal. B. No researcher writes a research proposal. C. Every researcher conducts experiments. D. At least one researcher conducts experiments."
150,1,yes_no,NA,No,Unknown,No,,,,False,False,0.4,0.0,0.0,0,yn,"According to the premises, is the following statement true? Every researcher analyzes the data."
151,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all mentors provides feedback?
151,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,1.0,0.0,0.0,0,yn,Do all mentors tracks progress?
152,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every student performs well on the exam. B. No student performs well on the exam. C. Only some students performs well on the exam. D. The premises do not support any conclusion about performsing."
152,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every student solves the problems."
153,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.6,1.0,1.0,1,yn,Do all candidates interview?
153,1,yes_no,NA,No,No,No,,,,True,True,0.8,0.6,1.0,1,yn,Does at least one candidate receives an offer?
154,0,mc,NA,A,Unknown,A,,,,False,False,0.6,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No participant completes the orientation. B. Every participant completes the orientation. C. At least one participant completes the orientation. D. It cannot be determined whether any participant completes the orientation."
154,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,0.8,1.0,0,yn,"According to the premises, is the following statement true? No participant completes the orientation."
155,0,yes_no,NA,Unknown,Yes,Yes,,,,True,False,1.0,0.8,1.0,1,yn,Do all employees onboarding program?
155,1,yes_no,NA,Unknown,Unknown,Unknown,,,,False,True,0.6,1.0,1.0,0,yn,Do all employees receives full benefits?
156,0,mc,NA,A,Unknown,A,,,,False,False,0.6,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No mentor reviews the mentee's work. B. Every mentor reviews the mentee's work. C. At least one mentor reviews the mentee's work. D. It cannot be determined whether any mentor reviews the mentee's work."
156,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? No mentor reviews the mentee's work."
157,0,mc,NA,B,Unknown,B,,,,False,False,1.0,1.0,0.8,0,mc,"Based on the premises, which statement is correct? A. Every mentor schedules a session. B. It cannot be determined whether every mentor schedules a session. C. No mentor schedules a session. D. Every mentor who provides feedback must schedules."
157,1,yes_no,NA,No,Unknown,No,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a mentor provides feedback, then the mentor schedules a session."
158,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every analyst gathers the requirements. B. It cannot be determined whether every analyst gathers the requirements. C. No analyst gathers the requirements. D. Every analyst who builds a model must gathers."
158,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? If an analyst builds a model, then the analyst gathers the requirements."
159,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,Do all participants finishes all modules?
159,1,yes_no,NA,No,No,No,,,,True,True,0.8,1.0,1.0,1,yn,Does at least one participant certification exam?
160,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every employee completes the onboarding program. B. It cannot be determined whether every employee completes the onboarding program. C. No employee completes the onboarding program. D. Every employee who receives full benefits must completes."
160,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.4,1.0,1.0,0,yn,"According to the premises, is the following statement true? If an employee receives full benefits, then the employee completes the onboarding program."
161,0,mc,NA,A,Unknown,A,,,,False,False,0.8,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No student participates in discussion. B. Every student participates in discussion. C. At least one student participates in discussion. D. It cannot be determined whether any student participates in discussion."
161,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.8,1.0,1.0,0,yn,"According to the premises, is the following statement true? No student participates in discussion."
162,0,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one intern team?
162,1,yes_no,NA,No,Yes,Yes,,,,True,False,0.6,1.0,1.0,1,yn,Do all interns gets a return offer?
163,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all volunteers assists with activities?
163,1,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.6,1.0,1.0,1,yn,Do all volunteers receives a community award?
164,0,mc,NA,B,Unknown,B,,,,False,False,1.0,0.0,0.0,0,mc,"Based on the premises, which statement is correct? A. Every researcher writes a research proposal. B. It cannot be determined whether every researcher writes a research proposal. C. No researcher writes a research proposal. D. Every researcher who conducts experiments must writes."
164,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.4,1.0,1.0,0,yn,"According to the premises, is the following statement true? If a researcher conducts experiments, then the researcher writes a research proposal."
165,0,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one volunteer event?
165,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all volunteers receives a community award?
166,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all researchers conducts experiments?
166,1,yes_no,NA,No,No,No,,,,True,True,0.6,1.0,1.0,1,yn,Does at least one researcher data?
167,0,mc,NA,A,Unknown,A,,,,False,False,0.8,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No candidate passes the written test. B. Every candidate passes the written test. C. At least one candidate passes the written test. D. It cannot be determined whether any candidate passes the written test."
167,1,yes_no,NA,Yes,Unknown,Yes,,,,False,False,0.6,1.0,1.0,0,yn,"According to the premises, is the following statement true? No candidate passes the written test."
168,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all students reviews mistakes?
168,1,yes_no,NA,Yes,No,No,,,,True,False,0.6,1.0,1.0,1,yn,Does at least one student improves technique?
169,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every candidate receives an offer. B. No candidate receives an offer. C. Only some candidates receives an offer. D. The premises do not support any conclusion about receivesing."
169,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,0.8,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every candidate clears the interview."
170,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every trainee earns a certificate. B. No trainee earns a certificate. C. Only some trainees earns a certificate. D. The premises do not support any conclusion about earnsing."
170,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every trainee submits a portfolio."
171,0,yes_no,NA,Unknown,Yes,Yes,,,,True,False,0.6,1.0,1.0,1,yn,Do all teachers assignments?
171,1,yes_no,NA,Yes,No,No,,,,True,False,0.4,1.0,1.0,1,yn,Does at least one teacher grade report?
172,0,mc,NA,A,A,A,,,,True,True,1.0,1.0,1.0,1,mc,"Based on the premises, which statement can be inferred? A. Every employee is eligible for promotion. B. No employee is eligible for promotion. C. Only some employees is eligible for promotion. D. The premises do not support any conclusion about ising."
172,1,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,"According to the premises, is the following statement true? Every employee receives full benefits."
173,0,yes_no,NA,Yes,Yes,Yes,,,,True,True,1.0,1.0,1.0,1,yn,Do all students problems?
173,1,yes_no,NA,No,No,No,,,,True,True,0.4,0.8,1.0,1,yn,Does at least one student exam?
174,0,mc,NA,D,Unknown,D,,,,False,False,0.4,1.0,1.0,0,mc,"Based on the premises, which statement is correct? A. No trainee completes the workshop. B. Every trainee completes the workshop. C. At least one trainee completes the workshop. D. It cannot be determined whether any trainee completes the workshop."
